,name,url,street,locality,state,postal,description,rating
0,"Country Inn & Suites by Radisson, Dothan, AL",https://www.radissonhotels.com/en-us/hotels/country-inn-dothan-al,3465 Ross Clark Circle,                                        Dothan,Alabama,36303," Conveniently located on travel routes, the Country Inn & Suites by Radisson, Dothan, AL provides an easy rest stop with a variety of comfortable rooms and suites. Looking for great golf? We’re just 15 minutes from the Robert Trent Jones Golf Trail championship courses at Highland Oaks. Families who stay at our hotel often visit Water World Water Park, historic Landmark Park, and The Carver Museum among many nearby attractions.When you arrive, treat yourself to complimentary cookies and a cup of coffee before you settle into your room and log into free Wi-Fi. Our business center lets you take care of office tasks 24 hours a day, and if you need a break, work out in the fitness center or swim a few laps in the heated indoor pool.  Our spacious rooms and suites feature comfortable bedding, satellite TV, and other modern amenities. You can brew a cup of coffee in the in-room coffeemaker and settle in with a free weekday newspaper. Get your day started with a free, hot breakfast served on classic diningware in our breakfast area. Our accessible rooms offer added convenience. As a guest of the Country Inn & Suites, you can experience southeast Alabama’s best attractions. If you’re on a family vacation, don’t miss a trip to the Water World Water Park or Adventureland Theme Park, only minutes from our hotel. You can tour The Carver Museum to learn about the life and contributions of George Washington Carver, a world-famous botanist and educator. Before you head to Dothan Regional Airport (DHN) to fly home, make some time to visit these local attractions:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-MCID-5.svg
1,"Country Inn & Suites by Radisson, Homewood, AL",https://www.radissonhotels.com/en-us/hotels/country-inn-homewood-al,485 Wildwood North Circle,                                        Homewood,Alabama,35209," Set in a quiet neighborhood off I-65, the Country Inn & Suites by Radisson, Homewood, AL puts you within eight miles of attractions like the Birmingham Zoo and Birmingham’s Civil Rights District. Fuel up with our free, hot breakfast before shopping at Riverchase Galleria or browsing the boutiques in downtown Homewood. If you're a sports fan, catch a game at the University of Alabama at Birmingham, about 10 minutes away. Here for work? Birmingham-Jefferson Convention Complex is just an eight-mile drive from the hotel.After seeing the sights, recharge in our relaxing outdoor pool and hot tub. We also offer a fitness center for refreshing workouts, free on-site parking, and free Wi-Fi to help you stay in touch with friends and family. Our spacious rooms and suites feature microwaves and refrigerators, so you can heat up a snack and have a chilled drink to sip on while you watch a movie on your room’s flat-screen TV. Sleep well on comfortable bedding, and then wake up each morning to enjoy a cup of coffee from the in-room coffeemaker before you head to our dining area for the free, hot breakfast. Skip the hassle of downtown while still enjoying quick access to Birmingham when you host a business meeting, conference, or social event with us. Take advantage of our meeting space for up to 50, along with staff support, an on-site business center, and free internet access. Our hotel is about a seven-mile drive from attractions like the Birmingham Museum of Art and the popular Riverchase Galleria mall. You can also head to the Five Points South district to explore shops, restaurants, and the landmark Vulcan Park, home of the world’s largest cast-iron sculpture. Nearby attractions include:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-MCID-5.svg
2,"Country Inn & Suites by Radisson, Madison, AL",https://www.radissonhotels.com/en-us/hotels/country-inn-madison-al,101 Westchester Drive,                                        Madison,Alabama,35758," Located right off I-565, the Country Inn & Suites by Radisson, Madison, AL makes a great home base for both business and leisure travel in the area. Must-see Huntsville attractions like the U.S. Space & Rocket Center are within an easy 15-minute drive of the hotel. Business travelers will appreciate our location just two miles from Huntsville International Airport (HSV) and 15 minutes from downtown Huntsville.After a day of work or play, take a dip in the indoor pool or decompress with a workout at the on-site fitness center. Free Wi-Fi lets you check emails or research local attractions while our free cookies and coffee in the lobby are a nice pick-me-up. Here for work? Corporate travelers can use our Business Center to put the finishing touches on that big presentation. In the mornings, don’t miss our free, hot breakfast, available to all of our guests. Our spacious rooms and suites make it easy to relax after a long day of work or play. You can catch up on your favorite TV shows or use the free internet access to browse your favorite sites. Stash any restaurant leftovers in the handy in-room fridge so you can reheat them later in the microwave for a midnight snack. To wake up in the mornings, brew a fresh cup of coffee in your room’s coffeemaker before you head out. Our hotel’s 750-square-foot meeting room comfortably seats up to 40 guests and offers a convenient location close to Huntsville’s airport. With essential audiovisual equipment, free high-speed internet access, and support or recommendations from our friendly staff, you have just what you need for a successful event. A midsize Huntsville suburb, Madison offers proximity to some of the area’s most interesting attractions. Visit the U.S. Space & Rocket Center to indulge your inner astronaut, or take your prospective college student to tour the University of Alabama in Huntsville. Don’t miss these attractions while you’re in the area:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-MCID-5.svg
3,"Country Inn & Suites by Radisson, Monroeville, AL",https://www.radissonhotels.com/en-us/hotels/country-inn-monroeville-al,120 Highway 21 S,                                        Monroeville,Alabama,36460," Located near the Literary Capital of Alabama, the Country Inn & Suites by Radisson, Monroeville, AL welcomes guests with Southern hospitality and boasts an excellent location for exploring local sites. Discover attractions that inspired Harper Lee's writings, like the Old Courthouse Museum and the Faulk Property, or spend the afternoon on the water at Claiborne Lake. Corporate visitors appreciate easy access from our hotel to nearby businesses like Georgia-Pacific and Harrigan Lumber Company.Back at the hotel, unwind by our outdoor pool and stay in touch with the office using free Wi-Fi. In the mornings, a complimentary, hot breakfast makes it easier to start your day. Make yourself at home in one of our comfortable rooms or suites featuring 42-inch flat-screen TVs and free Wi-Fi. In the morning, wake up with a fresh cup of coffee and browse the free weekday newspaper before enjoying our complimentary, hot breakfast. You can surprise your partner with a romantic stay in a whirlpool suite, where you’ll enjoy extra living space and an in-room whirlpool. In Monroeville for a business trip or family gathering? Our hotel provides a flexible space for up to 72 guests to help you organize and host a successful event. Our meeting room includes audiovisual equipment and free Wi-Fi and can be configured multiple ways to fit the needs of your corporate session, reunion, or reception. Monroeville, the childhood hometown of Harper Lee, is a small area full of traditions and charm that inspired the setting of To Kill a Mockingbird. Make time to embark on the self-guided Monroeville Historic Walking Tour to catch a glimpse of iconic city landmarks. Explore our charming town even more by visiting these local attractions:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-MCID-5.svg
4,"Country Inn & Suites by Radisson, Montgomery East, AL",https://www.radissonhotels.com/en-us/hotels/country-inn-montgomery-al,5155 Carmichael Road,                                        Montgomery,Alabama,36106," Situated just minutes from downtown Montgomery, the Country Inn & Suites by Radisson, Montgomery East, AL is a perfect choice for business travelers and vacationers visiting Alabama’s state capital. Our I-85 location makes it easy to explore popular sites like the Montgomery Zoo and The Shoppes at EastChase. If you’re in the area to visit your favorite student, our hotel is within six miles of Alabama State University, Auburn University at Montgomery, and Huntingdon College.When you return to the hotel, grab a delicious cookie from the lobby and unwind with a dip in the indoor pool. Free Wi-Fi lets you check the latest Hornets score, and our 24-hour business center offers on-site productivity. After a restful night’s sleep, get your body moving in our fitness center, fill up at our free, hot breakfast, and then venture out to explore downtown Montgomery. Whether you're visiting local universities or attending a business conference, you can rest in a comfortable hotel room with free Wi-Fi, a work desk, and a refrigerator.  A microwave makes it easy to enjoy leftovers from local restaurants and in-room coffee facilities keep you energized for excursions to the Montgomery Zoo. Our convenient location near downtown makes our on-site event space a perfect venue for corporate meetings and family gatherings. Audiovisual equipment, catering options, and free Wi-Fi are available, and our professional staff ensures every detail of your event receives the proper attention. Locally known as The Gump, Alabama's capital is bursting with museums, universities, and political institutions. Whatever your reason for visiting, you can take advantage of our proximity to some of Montgomery's greatest attractions, including Alabama State University and the Montgomery Museum of Fine Arts. Don’t miss these local favorites:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/2.5-MCID-5.svg
5,"Country Inn & Suites by Radisson, Saraland, AL",https://www.radissonhotels.com/en-us/hotels/country-inn-saraland-al,1130 Joaneen Drive,                                        Saraland,Alabama,36571," Mobile, known as the Azalea City, is only a 10-minute drive down I-65 from the Country Inn & Suites by Radisson, Saraland, AL. The young and young-at-heart will love touring popular destinations like Battleship Memorial Park, and hotel guests visiting during Carnival can experience the country’s oldest Mardi Gras celebration. We’re also just 15 minutes away from the Mobile Alabama Cruise Terminal, and we offer a complimentary shuttle to and from the terminal for all hotel guests.During your stay, you can enjoy the city’s hustle and bustle during the day and Saraland’s Southern tranquility at night. Relax with a dip in the hotel’s outdoor pool and hot tub, work out in the fitness center, or research the top area attractions with our free Wi-Fi. At night, unwind in our freshly painted rooms and suites featuring new carpet. You can begin the day with our free, hot breakfast before stopping by the business center to print your cruise boarding pass. Our guest rooms feature free high-speed internet access and 32-inch flat-screen TVs, perfect for watching your favorite shows before bed. Take advantage of amenities like a microwave and a refrigerator, along with a work desk and an in-room coffeemaker. The variety of family-friendly attractions in Mobile, Alabama ensures that each member of your crew can find something to do. Stroll through the gorgeous foliage at Mobile Botanical Gardens, and browse breathtaking works of art at the Mobile Museum of Art. Don’t miss these other local favorites:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-MCID-5.svg
6,"Country Inn & Suites by Radisson, Tuscaloosa, AL",https://www.radissonhotels.com/en-us/hotels/country-inn-tuscaloosa-al,4801 McFarland Boulevard E,                                        Tuscaloosa,Alabama,35405," Cheer on the Crimson Tide at the University of Alabama, see a concert at Tuscaloosa Amphitheater, or enjoy a riverboat cruise on the Black Warrior River, all within minutes of the Country Inn & Suites by Radisson, Tuscaloosa, AL. Our hotel’s location off I-20/59 and I-359 offers easy access to UA for prospective students taking a campus tour and families visiting current students. Business travelers appreciate that the hotel is also close to Michelin, Nucor Steel, and Mercedes-Benz.After a day of adventure, grab a book and head outdoors to relax by the pool. Need to reenergize after a long drive? Enjoy complimentary cookies and coffee in the lobby, and then stretch your legs in the fitness center. After touring the University of Alabama or attending business meetings, relax in our comfortable rooms and suites. Satisfy late-night hunger by warming up a snack in the in-room microwave and then relaxing in front of the flat-screen TV for an HBO special. In the morning, brew a fresh cup of coffee before heading to the dining room for our complimentary, hot breakfast. Traveling to Tuscaloosa with a sports team? Reserve a block of rooms and enjoy special amenities through our Sports Approved Program. If you need to meet with your team, you can use the breakfast room and pull up meeting notes on your tablet using free Wi-Fi. After the game, take advantage of our laundry facilities to clean everyone’s jerseys before the trip home. In town for a game at UA? Head just two miles from the hotel to the shops at Midtown Village to find something new to show your school spirit. For a cultural outing, explore the Kentuck Art Center, which features local artwork. You can also see live performances at the Bama Theatre. Be sure to check out these local favorites during your stay:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-MCID-5.svg
7,"Country Inn & Suites by Radisson, Chandler, AZ",https://www.radissonhotels.com/en-us/hotels/country-inn-chandler-az,7425 W Chandler Boulevard,                                        Chandler,Arizona,85226," Located off I-10, the Country Inn & Suites by Radisson, Chandler, AZ puts you close to such popular attractions as the Wild Horse Pass Casino, Rawhide Western Town, and spring training stadiums. You can spend the day seeing the monkeys at the Phoenix Zoo or explore the Sonoran Desert at the Desert Botanical Gardens. Choosing our hotel in Chandler makes it easy to explore downtown Chandler, the Eddie Basha Collection of Western and Indian American Art, and the Crayola Experience Chandler. Intel and Honeywell are close if you’re in town for business.Here with your four-legged friend? We offer several pet-friendly rooms and suites as well as a secure, fenced-in run area and complimentary doggie treats at the front desk, available upon check-in. After a day spent exploring Chandler, you can enjoy the Arizona sunshine with a swim in the outdoor pool or a soak in the hot tub. Our fitness center offers cardio equipment for a vigorous workout. And if you’re attending an event at the Phoenix Convention Center, you can print tickets and confirm the details in our business center. When it’s time to leave, Phoenix Sky Harbor International Airport (PHX) is about 13 miles from the hotel. Each of our 64 hotel rooms and suites is equipped with modern amenities that include a 32-inch flat-screen HDTV, free Wi-Fi, and a well-lit work desk. You can store your favorite snacks and beverages in the in-room refrigerator and heat your snacks in the microwave. Chandler boasts a central location less than 20 minutes from Phoenix and Tempe, making it ideal for leisure and business travelers. Nearby stadiums host spring training for the Los Angeles Angels, the Chicago Cubs, and the San Francisco Giants. You can go shopping, hike the Sonoran Desert, or play a round a golf at these local attractions:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-MCID-5.svg
8,"Country Inn & Suites by Radisson, Flagstaff Downtown, AZ",https://www.radissonhotels.com/en-us/hotels/country-inn-flagstaff-downtown-az,224 S Mikes Pike Street,                                        Flagstaff,Arizona,86001," Whether you plan to hike Coconino National Forest, snowboard at Arizona Snowbowl or check a national park off your bucket list, the Country Inn & Suites by Radisson, Flagstaff Downtown, AZ provides the perfect home base for your Flagstaff adventures. Situated in the heart of downtown, our hotel is steps away from the best breweries, restaurants and shopping that the area has to offer and provides remarkable views of the surrounding mountains and forests. Plan an unforgettable outing to the Grand Canyon, about 80 miles from the hotel’s property, or stick closer to home while you explore nearby attractions like Lowell Observatory, Wupatki National Monument and Sunset Crater Volcano National Monument. Visiting a loved one at Northern Arizona University? Embrace comfort in one of our 51 hotel rooms and suites, equipped with thoughtful amenities like a microwave, a mini refrigerator and free Wi-Fi. To upgrade your stay, reserve a studio suite, which offers additional space plus extras like a seating area and a comfortable sleeper sofa. Whether you’re attending a small team huddle or hosting a company-wide presentation, our flexible meeting room offers comfortable accommodations for up to 15 guests. In addition to free high-speed Internet access, guests are welcome to take advantage of complimentary printing services in our 24-hour business center. Teeming with ponderosa pine forests, snow-capped mountain peaks and picturesque nature trails, Flagstaff offers an abundance of outdoor entertainment for visitors. You can practice your skiing technique while hitting the slopes at Arizona Snowbowl and attend an evening constellation tour at Lowell Observatory. In addition to two national monuments, you can also see these local highlights:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.5-MCID-5.svg
9,"Country Inn & Suites by Radisson, Flagstaff, AZ",https://www.radissonhotels.com/en-us/hotels/country-inn-flagstaff-az,3501 E Lockett Road,                                        Flagstaff,Arizona,86004," Pull off Historic Route 66 and settle into your spacious room or suite at the Country Inn & Suites by Radisson, Flagstaff, AZ. Our hotel is ideally located for day trips to the Grand Canyon and is just minutes from the beautiful sights of the Walnut Canyon National Monument. Visit your favorite student at Northern Arizona University, just seven miles away, or treat yourself to a day of shopping at Flagstaff Mall or in Historic Downtown Flagstaff, both less than four miles away. Science buffs can plan a trip to Lowell Observatory, and outdoor-lovers enjoy the scenic views at Coconino National Forest. After cheering on the Lumberjacks at Walkup Skydome, enjoy a refreshing plunge in our heated indoor pool. You can catch up with friends using free Wi-Fi or snuggle up by the fire pit on the spacious outdoor patio. Our business center keeps you connected to the office with access to computers, a printer, and fax and copying services. Reserve one of our spacious guest rooms or suites, where you can curl up with a book, connect online with free Wi-Fi, or relax in front of great programming on the flat-screen TV. When you're ready to call it a day, slip into the comfortable bed and rest assured that a free, hot breakfast will be waiting in the morning. Every hotel room has a microwave and fridge ready for when your kids crave a snack. If you’re traveling with family or a group, upgrade to a one-bedroom suite with a separate living room and a sleeper sofa. Start your adventures in Arizona at the Country Inn & Suites, Flagstaff, located off Historic Route 66. You’ll find mesmerizing beauty on the ground at Walnut Canyon National Monument and in the skies at Lowell Observatory. After touring Northern Arizona University or shopping at Flagstaff Mall, experience the nightlife of historic downtown Flagstaff. The Arizona Snowbowl offers excitement at every season, from thrilling ski slopes to scenic hiking trails. We're also conveniently located for day trips to Wupatki National Monument or Coconino National Forest. Don't miss these attractions:",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-MCID-5.svg
