,name,description,streetAddress,addressLocality,addressRegion,addressCountry,postalCode,url,latitude,longitude,rating,brand
0,Hampton Inn Alexander City,"We’re right off Highway 280, 25 minutes away from Lake Martin, where you can boat, swim, or fish. In the fall, football fans can take a 45-minute drive to see the Auburn Tigers, while music lovers can soak in the nearby Alexander City Jazz Fest every summer. WiFi and hot breakfast are on us.",1551 Elkahatchee Road,Alexander City,AL,US,35010,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-alexander-city-MGMACHX/index.html,32.927516,-85.96627099999998,4,Hampton Inn
1,Hampton Inn Wetumpka,"We’re on the banks of the Coosa River, a short walk from Wetumpka Civic Center and Elmore County Historical Society and Museum. Wind Creek Wetumpka Casino is a half-mile away and we’re 20 minutes from Montgomery. Daily hot breakfast, WiFi, and parking are on us. We have an out door pool and a business center.",350 South Main Street,Wetumpka,AL,US,36092,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-wetumpka-MGMWAHX/index.html,32.53395482,-86.20627372,5,Hampton Inn
2,Hampton Inn Auburn,"We're off I-85, under 10 minutes from Chewacla State Park and Auburn University’s Jay & Susie Gogue Performing Arts Center. Auburn Softball Complex is under half a mile away and we’re 20 minutes from Tuskegee. Enjoy daily free hot breakfast, free WiFi, and our outdoor pool.",2430 S. College St.,Auburn,AL,US,36832,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-auburn-AUBALHX/index.html,32.55620385,-85.50812111,4,Hampton Inn
3,Tru by Hilton Auburn,"Make this Tru by Hilton your own. We’ll help, with free customizable breakfast and proximity to a wealth of Auburn activities, like Toomer’s Corner, the Jordan-Hare Stadium and Auburn University (home of the Tigers). Brush up on nature at the Louise Kreher Forest Ecology Preserve or explore the beautiful Chewacla State Park. While you’re here, WiFi and parking are free.",2411 W Pace Blvd,Auburn,AL,US,36830,https://tru3.hilton.com/en/hotels/alabama/tru-by-hilton-auburn-CSGAARU/index.html,32.55760488,-85.50454546,4,Tru
4,Hilton Garden Inn Auburn/Opelika,"Our hotel is just off I-85, minutes away from Auburn University Municipal Airport, and three miles from Auburn University. Jordan Hare Stadium, Jonathan Bell Lovelace Museum, and the legendary Toomer’s Oaks are all four miles away. We have an outdoor pool and fitness center, and a hot breakfast is available in our Garden Grille & Bar. The WiFi’s on us.",2555 Hilton Garden Drive,Auburn,AL,US,36830,https://hiltongardeninn3.hilton.com/en/hotels/alabama/hilton-garden-inn-auburn-opelika-AUOAPGI/index.html,32.606700000000004,-85.43140000000002,4,Hilton Garden Inn
5,Hampton Inn & Suites Opelika - I-85 - Auburn Area,"Just off I-85, we’re only a short drive from Chewacla State Park, 696 acres of lush land to hike, swim, mountain bike, or picnic. Explore the breweries, art, restaurants, and boutiques of Opelika’s vibrant downtown. We're just minutes from the business district, Auburn Research Park, and Auburn Industrial Park too. Daily hot breakfast and WiFi are on us.",3000 Capps Way,Opelika,AL,US,36804,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-and-suites-opelika-i-85-auburn-area-AUOOPHX/index.html,32.6148,-85.4008,4.5,Hampton Inn
6,Home2 Suites by Hilton Opelika Auburn,"We're your launchpad into Auburn/Opelika, located off I-85 in bustling Tigertown. Staying with us places you minutes from Historic Downtown Opelika, the Robert Trent Jones Golf Trail, and Auburn University. Before heading out, fill your plate with more than 400 free breakfast options – or whip something up in your in-suite kitchen. WiFi is free, too.",3150 Capps Way,Opelika,AL,US,36801,https://home2suites3.hilton.com/en/hotels/alabama/home2-suites-by-hilton-opelika-auburn-AUOOAHT/index.html,32.61241103,-85.40001584,4.5,Home2
7,Hampton Inn & Suites Prattville,"We're just off I-65, 10 minutes from Montgomery. You'll find a variety of restaurants within walking distance – and a Bass Pro Shops across the street. Enjoy free hot breakfast, free WiFi, and our outdoor pool. Stretch your legs at Wilderness Park or the Robert Trent Jones Golf Trail's Capitol Hill course, both less than 15 minutes away.",2590 Cobbs Ford Road,Prattville,AL,US,36066,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-and-suites-prattville-MGMCFHX/index.html,32.460173,-86.390495,4.5,Hampton Inn
8,Tru by Hilton Prattville,"We are off I-65 and Route 82 in Prattville. High Point Town Center and Prattville Town Center shopping centers are less than three miles away. Capital Hill Golf Club, a 5-minute drive, has three championship 18-hole courses. Dining chains like Outback Steakhouse as well as local restaurants like Jim ‘N Nick’s Bar-B-Q are within a mile.",2633 Legends Parkway,Prattville,AL,US,36066,https://tru3.hilton.com/en/hotels/alabama/tru-by-hilton-prattville-MGMPARU/index.html,32.458362,-86.401724,1,Tru
9,Hampton Inn & Suites Athens-I-65 (Huntsville Area),"Just over three miles from Athens' city center, with easy I-65 access, we’re ideal for a quiet stay. Fill up on free breakfast before teeing off at Southern Gayles Golf Course or Canebrake Country Club. If you fancy a bite, we’re walking-distance from local restaurants and diners. Check out Alabama Veterans Museum if you have time. WiFi’s on us.",1222 Kelli Drive,Athens,AL,US,35613,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-and-suites-athens-i-65-huntsville-area-DCUATHX/index.html,34.780978999999995,-86.93710999999998,4.5,Hampton Inn
10,Home2 Suites by Hilton Decatur Ingalls Harbor,"Our riverfront hotel is next to Ingalls Harbor, five minutes from downtown, and walking distance from the event center. Indulge in a free breakfast before visiting local attractions such as the Princess Theatre and Point Mallard Park. We're close to businesses including Cola-Cola, GE, and 3M. Prepare meals in your suite kitchen and stay connected with free WiFi.",807 Island Way NW,Decatur,AL,US,35601,https://home2suites3.hilton.com/en/hotels/alabama/home2-suites-by-hilton-decatur-ingalls-harbor-DCUWSHT/index.html,34.6230301,-86.99256633,4.5,Home2
11,DoubleTree by Hilton Hotel Decatur Riverfront,"We're 500 feet from the Tennessee River and the Steamboat Bill Memorial Bridge. It's a five-minute drive to local shops, eateries, and the Cook Museum of Natural Science downtown. Point Mallard Park and Decatur Morgan Hospital are under five miles away. Take a dip in any season in our heated indoor and outdoor pools.",1101 6th Avenue NE,Decatur,AL,US,35601,https://doubletree3.hilton.com/en/hotels/alabama/doubletree-by-hilton-hotel-decatur-riverfront-DCUSADT/index.html,34.610600000000005,-86.9775,4,Doubletree
12,Hampton Inn Madison Huntsville Airport,"It's a free five-minute shuttle ride, with a reservation, from Huntsville International Airport (HSV) to our front door. We're next to I-565, only eight miles from the U.S. Space and Rocket Center and the University of Alabama in Huntsville. From there, it's just four miles to downtown and the Von Braun Center. Hot breakfast and WiFi are on us.",9225 Madison Blvd.,Madison,AL,US,35758,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-madison-huntsville-airport-HSVMSHX/index.html,34.673254,-86.759303,4.5,Hampton Inn
13,Home2 Suites by Hilton Madison Huntsville Airport,"Find us off I-565, less than three miles from Huntsville International Airport. Downtown Huntsville, The U.S. Space & Rocket Center, Madison Ballpark, and the Botanical Gardens can be reached in 10 minutes. We offer spacious suites with kitchens, an outdoor saline pool, and a free hot breakfast every morning.",135 Graphics Drive,Madison,AL,US,35758,https://home2suites3.hilton.com/en/hotels/alabama/home2-suites-by-hilton-madison-huntsville-airport-HSVMHHT/index.html,34.670682,-86.751387,4.5,Home2
14,Homewood Suites by Hilton Huntsville-Village of Providence,"Surrounded by shopping, local restaurants, and apartments in the upscale Village of Providence, you'll feel at home in Huntsville. Our location just off Highway 72 offers easy access to Redstone Arsenal, The University of Alabama – Huntsville, and Cummings Research Park. Blast off for an afternoon at the US Space and Rocket Center, just 10 minutes away.",15 Town Center Drive,Huntsville,AL,US,35806,https://homewoodsuites3.hilton.com/en/hotels/alabama/homewood-suites-by-hilton-huntsville-village-of-providence-HSVHWHW/index.html,34.75436,-86.69401599999998,4.5,Homewood Suites
15,Hampton Inn Huntsville/Village of Providence,"We’re close to Boeing, Toyota and Redstone Arsenal – ideal for corporate guests – with the fun side of Huntsville on our doorstep, too. Check out the Botanical Garden and the U.S. Space & Rocket Center, or simply explore downtown Huntsville. Catch some college sports at the University of Alabama Huntsville or Alabama A&M University. Breakfast and WiFi are free.",328 Providence Main St.,Huntsville,AL,US,35806,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-huntsville-village-of-providence-HSVHXHX/index.html,34.751871,-86.69319899999998,5,Hampton Inn
16,Hampton Inn Decatur,"Our Decatur home is off Highway 67, five miles from Wilson Morgan Park. Enjoy our free hot breakfast before taking in some Alabama air at Wheeler National Wildlife Refuge or exploring Point Mallard Park, both within 15 minutes’ drive. Swim in our outdoor pool and work out in the fitness center. WiFi is free.","2041 Beltline Rd., SW",Decatur,AL,US,35601,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-decatur-DCUHHHX/index.html,34.578900000000004,-87.0215,4.5,Hampton Inn
17,Hampton Inn & Suites Huntsville/Research Park Area,"We're located off I-565, in the heart of Cummings Research Park and close to Redstone Arsenal. Downtown Huntsville and Rocket City attractions like the Huntsville Botanical Garden and U.S. Space & Rocket Center are less than 15 minutes away. Shop, dine, or catch a movie at Bridge Street Town Center, four minutes away. Daily hot breakfast and WiFi are on us.",7010 Cabela Drive,Huntsville,AL,US,35806,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-and-suites-huntsville-research-park-area-HSVHRHX/index.html,34.709352,-86.67792299999998,4.5,Hampton Inn
18,"Home2 Suites by Hilton Huntsville/Research Park Area, AL","An all-suite, extended stay hotel in Huntsville, Alabama, adjacent to Cummings Research Park and a ten-minute walk from dining and shopping in Bridge Street Town Center. Choose from studios and one-bedroom suites featuring fully equipped kitchens, and free WiFi. There’s an outdoor pool, and Spin2 Cycle lets you run the treadmill while your clothes wash.",7010 Cabela Drive,Huntsville,AL,US,35806,https://home2suites3.hilton.com/en/hotels/alabama/home2-suites-by-hilton-huntsville-research-park-area-al-HSVRPHT/index.html,34.709631,-86.677737,4.5,Home2
19,Hampton Inn Atmore,"We’re just off I-65. Wind Creek Casino is half a mile away with more than a thousand games, plus movies, dining, and an arcade. Atmore city center is six miles away – in late July, the Old-Time Fiddlers' Convention draws musicians from across the state. Unwind in our outdoor pool, and enjoy free hot breakfast and WiFi.",45 Rivercane Blvd. West,Atmore,AL,US,36502,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-atmore-MOBATHX/index.html,31.10622858,-87.47872353,4,Hampton Inn
